index,input,score_a,score_b,diff
1,0000.txt,578.0,40.0,-538.0
2,0001.txt,977.0,155.0,-822.0
3,0002.txt,162.0,134.0,-28.0
4,0003.txt,2554.0,1320.0,-1234.0
5,0004.txt,2358.0,224.0,-2134.0
6,0005.txt,3110.0,380.0,-2730.0
7,0006.txt,770.0,188.0,-582.0
8,0007.txt,1103.0,109.0,-994.0
9,0008.txt,1123.0,721.0,-402.0
10,0009.txt,1004.0,198.0,-806.0
11,0010.txt,1226.0,156.0,-1070.0
12,0011.txt,262.0,72.0,-190.0
13,0012.txt,1356.0,744.0,-612.0
14,0013.txt,341.0,293.0,-48.0
15,0014.txt,441.0,631.0,190.0
16,0015.txt,769.0,3323.0,2554.0
17,0016.txt,1804.0,520.0,-1284.0
18,0017.txt,264.0,148.0,-116.0
19,0018.txt,369.0,141.0,-228.0
20,0019.txt,184.0,284.0,100.0
21,0020.txt,2183.0,495.0,-1688.0
22,0021.txt,911.0,649.0,-262.0
23,0022.txt,992.0,250.0,-742.0
24,0023.txt,1088.0,118.0,-970.0
25,0024.txt,848.0,324.0,-524.0
26,0025.txt,135.0,401.0,266.0
27,0026.txt,2566.0,494.0,-2072.0
28,0027.txt,493.0,169.0,-324.0
29,0028.txt,447.0,313.0,-134.0
30,0029.txt,1690.0,174.0,-1516.0
31,0030.txt,3068.0,304.0,-2764.0
32,0031.txt,2327.0,453.0,-1874.0
33,0032.txt,4568.0,196.0,-4372.0
34,0033.txt,111.0,47.0,-64.0
35,0034.txt,542.0,202.0,-340.0
36,0035.txt,128.0,54.0,-74.0
37,0036.txt,242.0,236.0,-6.0
38,0037.txt,149.0,119.0,-30.0
39,0038.txt,805.0,991.0,186.0
40,0039.txt,475.0,133.0,-342.0
41,0040.txt,2389.0,881.0,-1508.0
42,0041.txt,770.0,124.0,-646.0
43,0042.txt,1157.0,587.0,-570.0
44,0043.txt,184.0,146.0,-38.0
45,0044.txt,3080.0,434.0,-2646.0
46,0045.txt,870.0,422.0,-448.0
47,0046.txt,140.0,190.0,50.0
48,0047.txt,3166.0,1006.0,-2160.0
49,0048.txt,8426.0,148.0,-8278.0
50,0049.txt,1518.0,850.0,-668.0
